Transaction 142: write: ['0x89', '0x24']

Transaction 143: write: ['0x8a', '0x1f']

Transaction 144: write: ['0x8b', '0x21']

Transaction 145: write: ['0x28', '0x2']

Transaction 146: write: ['0xc', '0x56']

Transaction 147: write: ['0xd2', '0x2']

Transaction 148: write: ['0xda', '0x80']

Transaction 149: write: ['0xdb', '0x80']

Transaction 150: write: ['0xff', '0xff']

Transaction 151: write: ['0xd2', '0x2']

Transaction 152: write: ['0xda', '0x80']

Transaction 153: write: ['0xdb', '0x80']

Transaction 154: write: ['0xff', '0xff']

Transaction 155: write: ['0xff', '0xff']

Transaction 156: write: ['0xc', '0x16']

